08/11/2019,"CREDIT CARD  DREAMCATCHER HOUSE CORP SAN JUAN PR Date 08/10/19 24835109223600130594680 7011Card 55 #1865",$98.84,$0.00,$0.00,$98.84,$2081.88
08/10/2019,"From Share 0080   Mobile Banking Transfer",-$1000.00,$0.00,$0.00,-$1000.00,$1983.04
08/10/2019,"CREDIT CARD  MAMACITAS ENTERPRISE CULEBRA PR Date 08/08/19 74549049221100227550119 7011Card 55 #1865",$20.41,$0.00,$0.00,$20.41,$2983.04
08/10/2019,"CREDIT CARD  COLMADO COSTA DEL SO CULEBRA PR Date 08/08/19 74549049221100173161168 5411Card 55 #1865",$7.43,$0.00,$0.00,$7.43,$2962.63
08/10/2019,"CREDIT CARD  SUNSET GRILL CULEBRA PR Date 08/08/19 74998589221030027775684 5812 Card 55 #1865",$68.38,$0.00,$0.00,$68.38,$2955.20
08/10/2019,"CREDIT CARD  DINGHY DOCK CULEBRA PR Date 08/09/19 74998589221030027742981 5812 Card 55 #1865",$80.95,$0.00,$0.00,$80.95,$2886.82
08/10/2019,"CREDIT CARD  DINGHY DOCK CULEBRA PR Date 08/08/19 74998589221030027743237 5812 Card 55 #1865",$23.19,$0.00,$0.00,$23.19,$2805.87
08/10/2019,"CREDIT CARD  MI PEQUENA PATRIA CULEBRA PR Date 08/09/19 74998589221027013432650 5691Card 55 #1865",$14.48,$0.00,$0.00,$14.48,$2782.68
08/09/2019,"CREDIT CARD  ZIPCAR INC. 866-494-7227 MA Date 08/08/19 24231689221200034539882 4789Card 55 #1865",$70.00,$0.00,$0.00,$70.00,$2768.20
08/09/2019,"#922122637222  BEFUNKY.COM BEFUNKY.COM OR Card 55 #1865",$6.99,$0.00,$0.00,$6.99,$2698.20
08/09/2019,"CREDIT CARD  KAYAKING PUERTO RI WWW.KAYAKINGP CA Date 08/08/19 24492159220637198325344 7991Card 55 #1865",$131.56,$0.00,$0.00,$131.56,$2691.21
08/09/2019,"CREDIT CARD  RED MANGO VIEJO SJ SAN JUAN PR Date 08/07/19 74685689220444007380307 5812Card 55 #1865",$15.49,$0.00,$0.00,$15.49,$2559.65
08/09/2019,"CREDIT CARD  CARLOS JEEP RENTAL-O CULEBRA PR Date 08/07/19 74296309220316702080612 3351Card 55 #1865",$341.94,$0.00,$0.00,$341.94,$2544.16
08/09/2019,"CREDIT CARD  CULEBRA DIVERS CULEBRA PR Date 08/08/19 74998589220027013197155 5941Card 55 #1865",$71.19,$0.00,$0.00,$71.19,$2202.22
08/09/2019,"CREDIT CARD  CULEBRA DIVERS CULEBRA PR Date 08/08/19 74998589220027013197163 5941Card 55 #1865",$13.32,$0.00,$0.00,$13.32,$2131.03
08/09/2019,"CREDIT CARD  CULEBRA DIVERS CULEBRA PR Date 08/08/19 74998589220027013197114 5941Card 55 #1865",$18.90,$0.00,$0.00,$18.90,$2117.71
08/09/2019,"CREDIT CARD  SANDBAR CULEBRA PR Date 08/07/19 74998589220030026216665 5812 Card 55 #1865",$13.20,$0.00,$0.00,$13.20,$2098.81
